,Age,Income,Score
0,19,15,39
1,21,15,81
2,20,16,6
3,23,16,77
4,31,17,40
5,22,17,76
6,35,18,6
7,23,18,94
8,64,19,3
9,30,19,72
10,67,19,14
11,35,19,99
12,58,20,15
13,24,20,77
14,37,20,13
15,22,20,79
16,35,21,35
17,20,21,66
18,52,23,29
19,35,23,98
20,35,24,35
21,25,24,73
22,46,25,5
23,31,25,73
24,54,28,14
25,29,28,82
26,45,28,32
27,35,28,61
28,40,29,31
29,23,29,87
30,60,30,4
31,21,30,73
32,53,33,4
33,18,33,92
34,49,33,14
35,21,33,81
36,42,34,17
37,30,34,73
38,36,37,26
39,20,37,75
40,65,38,35
41,24,38,92
42,48,39,36
43,31,39,61
44,49,39,28
45,24,39,65
46,50,40,55
47,27,40,47
48,29,40,42
49,31,40,42
50,49,42,52
51,33,42,60
52,31,43,54
53,59,43,60
54,50,43,45
55,47,43,41
56,51,44,50
57,69,44,46
58,27,46,51
59,53,46,46
60,70,46,56
61,19,46,55
62,67,47,52
63,54,47,59
64,63,48,51
65,18,48,59
66,43,48,50
67,68,48,48
68,19,48,59
69,32,48,47
70,70,49,55
71,47,49,42
72,60,50,49
73,60,50,56
74,59,54,47
75,26,54,54
76,45,54,53
77,40,54,48
78,23,54,52
79,49,54,42
80,57,54,51
81,38,54,55
82,67,54,41
83,46,54,44
84,21,54,57
85,48,54,46
86,55,57,58
87,22,57,55
88,34,58,60
89,50,58,46
90,68,59,55
91,18,59,41
92,48,60,49
93,40,60,40
94,32,60,42
95,24,60,52
96,47,60,47
97,27,60,50
98,48,61,42
99,20,61,49
100,23,62,41
101,49,62,48
102,67,62,59
103,26,62,55
104,49,62,56
105,21,62,42
106,66,63,50
107,54,63,46
108,68,63,43
109,66,63,48
110,65,63,52
111,19,63,54
112,38,64,42
113,19,64,46
114,18,65,48
115,19,65,50
116,63,65,43
117,49,65,59
118,51,67,43
119,50,67,57
120,27,67,56
121,38,67,40
122,40,69,58
123,39,69,91
124,23,70,29
125,31,70,77
126,43,71,35
127,40,71,95
128,59,71,11
129,38,71,75
130,47,71,9
131,39,71,75
132,25,72,34
133,31,72,71
134,20,73,5
135,29,73,88
136,44,73,7
137,32,73,73
138,19,74,10
139,35,74,72
140,57,75,5
141,32,75,93
142,28,76,40
143,32,76,87
144,25,77,12
145,28,77,97
146,48,77,36
147,32,77,74
148,34,78,22
149,34,78,90
150,43,78,17
151,39,78,88
152,44,78,20
153,38,78,76
154,47,78,16
155,27,78,89
156,37,78,1
157,30,78,78
158,34,78,1
159,30,78,73
160,56,79,35
161,29,79,83
162,19,81,5
163,31,81,93
164,50,85,26
165,36,85,75
166,42,86,20
167,33,86,95
168,36,87,27
169,32,87,63
170,40,87,13
171,28,87,75
172,36,87,10
173,36,87,92
174,52,88,13
175,30,88,86
176,58,88,15
177,27,88,69
178,59,93,14
179,35,93,90
180,37,97,32
181,32,97,86
182,46,98,15
183,29,98,88
184,41,99,39
185,30,99,97
186,54,101,24
187,28,101,68
188,41,103,17
189,36,103,85
190,34,103,23
191,32,103,69
192,33,113,8
193,38,113,91
194,47,120,16
195,35,120,79
196,45,126,28
197,32,126,74
198,32,137,18
199,30,137,83
